review,sentiment
"I loved the movie, it was fantastic!",positive
"The movie was terrible, I hated it.",negative
"It was an amazing film, highly recommended!",positive
"I did not enjoy the movie, it was boring.",negative
"One of the best movies I have ever seen!",positive
"The plot was dull and uninteresting.",negative
"A wonderful cinematic experience.",positive
"I would not watch it again, not good.",negative
"Brilliant performances and great storyline.",positive
"The worst movie I have seen this year.",negative
